Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Al Barack,Tambaram,['North Indian',"['Shawarma', ' Chicken Grill', ' Bbq Chicken', ' Gulab Jamun', ' Faluda', ' Chicken Shawarama', ' Roti']",800,4.0,416,3.7,6661,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Al Barack,Tambaram, ' Chinese',"['Shawarma', ' Chicken Grill', ' Bbq Chicken', ' Gulab Jamun', ' Faluda', ' Chicken Shawarama', ' Roti']",800,4.0,416,3.7,6661,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Al Barack,Tambaram, ' Seafood',"['Shawarma', ' Chicken Grill', ' Bbq Chicken', ' Gulab Jamun', ' Faluda', ' Chicken Shawarama', ' Roti']",800,4.0,416,3.7,6661,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Al Barack,Tambaram, ' Mughlai',"['Shawarma', ' Chicken Grill', ' Bbq Chicken', ' Gulab Jamun', ' Faluda', ' Chicken Shawarama', ' Roti']",800,4.0,416,3.7,6661,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Al Barack,Tambaram, ' Biryani',"['Shawarma', ' Chicken Grill', ' Bbq Chicken', ' Gulab Jamun', ' Faluda', ' Chicken Shawarama', ' Roti']",800,4.0,416,3.7,6661,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Al Barack,Tambaram, ' Beverages'],"['Shawarma', ' Chicken Grill', ' Bbq Chicken', ' Gulab Jamun', ' Faluda', ' Chicken Shawarama', ' Roti']",800,4.0,416,3.7,6661,"['Home Delivery', 'Indoor Seating', 'Table booking recommended']"
Flower Power Tea Room,Besant Nagar,['Cafe',"['Tea', ' Sandwich', ' Scones', ' Vanilla Sponge Cake', ' Cupcake', ' English Breakfast', ' Custard']",650,4.2,264,3.9,44,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes', 'Table reservation required']"
Flower Power Tea Room,Besant Nagar, ' Tea',"['Tea', ' Sandwich', ' Scones', ' Vanilla Sponge Cake', ' Cupcake', ' English Breakfast', ' Custard']",650,4.2,264,3.9,44,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes', 'Table reservation required']"
Flower Power Tea Room,Besant Nagar, ' Desserts',"['Tea', ' Sandwich', ' Scones', ' Vanilla Sponge Cake', ' Cupcake', ' English Breakfast', ' Custard']",650,4.2,264,3.9,44,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes', 'Table reservation required']"
Flower Power Tea Room,Besant Nagar, ' British'],"['Tea', ' Sandwich', ' Scones', ' Vanilla Sponge Cake', ' Cupcake', ' English Breakfast', ' Custard']",650,4.2,264,3.9,44,"['Home Delivery', 'Indoor Seating', 'Desserts and Bakes', 'Table reservation required']"
