Name of Restaurant,Location,Cuisine,Top Dishes,Price for 2,Dining Rating,Dining Rating Count,Delivery Rating,Delivery Rating Count,Features
Rainbow Restaurant,T.Nagar, ' Chinese',"['Biryani', ' Paratha', ' Malai Kebab', ' Noodle', ' Clear Soup', ' Panneer Butter Masala', ' Tandoori Chicken']",550,3.7,275,3.7,4056,"['Home Delivery', 'Indoor Seating']"
Rainbow Restaurant,T.Nagar, ' BBQ'],"['Biryani', ' Paratha', ' Malai Kebab', ' Noodle', ' Clear Soup', ' Panneer Butter Masala', ' Tandoori Chicken']",550,3.7,275,3.7,4056,"['Home Delivery', 'Indoor Seating']"
Quintessence - Hotel Raj Park Chennai,"Hotel Rajpark, Alwarpet",['North Indian',"['Chicken Biryani', ' Chicken Soup', ' Gulab Jamun', ' Fruit Salad', ' Vegetarian', ' Veg Pulao', ' Custard']",1200,4.0,240,3.9,64,"['Breakfast', 'Home Delivery', 'Wheelchair Accessible', 'Full Bar Available', 'Table booking recommended', 'Kid Friendly', 'Valet Parking Available', 'Indoor Seating', '4/5 Star', 'Smoking Area', 'Buffet']"
Quintessence - Hotel Raj Park Chennai,"Hotel Rajpark, Alwarpet", ' Continental'],"['Chicken Biryani', ' Chicken Soup', ' Gulab Jamun', ' Fruit Salad', ' Vegetarian', ' Veg Pulao', ' Custard']",1200,4.0,240,3.9,64,"['Breakfast', 'Home Delivery', 'Wheelchair Accessible', 'Full Bar Available', 'Table booking recommended', 'Kid Friendly', 'Valet Parking Available', 'Indoor Seating', '4/5 Star', 'Smoking Area', 'Buffet']"
Hotel Bhukara,Anna Nagar ,['North Indian',"['Shawarma', ' Chicken Grill', ' Fried Rice Chicken', ' Faluda', ' Fish Finger', ' Chicken Biryani']",650,2.6,213,3.3,4777,"['Home Delivery', 'Catering Available', 'Wifi', 'Indoor Seating']"
Hotel Bhukara,Anna Nagar , ' South Indian',"['Shawarma', ' Chicken Grill', ' Fried Rice Chicken', ' Faluda', ' Fish Finger', ' Chicken Biryani']",650,2.6,213,3.3,4777,"['Home Delivery', 'Catering Available', 'Wifi', 'Indoor Seating']"
Hotel Bhukara,Anna Nagar , ' Chinese',"['Shawarma', ' Chicken Grill', ' Fried Rice Chicken', ' Faluda', ' Fish Finger', ' Chicken Biryani']",650,2.6,213,3.3,4777,"['Home Delivery', 'Catering Available', 'Wifi', 'Indoor Seating']"
Hotel Bhukara,Anna Nagar , ' Biryani'],"['Shawarma', ' Chicken Grill', ' Fried Rice Chicken', ' Faluda', ' Fish Finger', ' Chicken Biryani']",650,2.6,213,3.3,4777,"['Home Delivery', 'Catering Available', 'Wifi', 'Indoor Seating']"
Kriyates,Okkiyampet,['South Indian',"['Thali', ' Chips', ' Panneer Butter Masala', ' Kulcha', ' Roti', ' Pakoda', ' Paruppu Podi']",600,4.2,252,3.6,100,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating', 'Buffet', 'Desserts and Bakes', 'Dance Floor', 'Live Music', 'Kid Friendly', 'Private Dining Area Available', 'Vegan Options']"
Kriyates,Okkiyampet, ' Beverages'],"['Thali', ' Chips', ' Panneer Butter Masala', ' Kulcha', ' Roti', ' Pakoda', ' Paruppu Podi']",600,4.2,252,3.6,100,"['Home Delivery', 'Vegetarian Only', 'Free Parking', 'Indoor Seating', 'Buffet', 'Desserts and Bakes', 'Dance Floor', 'Live Music', 'Kid Friendly', 'Private Dining Area Available', 'Vegan Options']"
Akshaya Bhavan,Porur,['Chinese',['Coffee'],450,3.7,400,3.8,8396,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Table booking recommended', 'Catering Available', 'Indoor Seating', 'Kid Friendly']"
Akshaya Bhavan,Porur, ' North Indian',['Coffee'],450,3.7,400,3.8,8396,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Table booking recommended', 'Catering Available', 'Indoor Seating', 'Kid Friendly']"
Akshaya Bhavan,Porur, ' South Indian'],['Coffee'],450,3.7,400,3.8,8396,"['Breakfast', 'Home Delivery', 'Vegetarian Only', 'Free Parking', 'Table booking recommended', 'Catering Available', 'Indoor Seating', 'Kid Friendly']"
Ikkakas,Teynampet,['Kerala',"['Tender Coconut Mousse', ' Kuluki Sarbat', ' Chicken Curry', ' Karimeen Pollichath', ' Mutton Cutlets', ' Chicken Biryani', ' Fish Cutlet']",500,4.2,208,3.8,51,"['Home Delivery', 'Lunch Menu', 'Indoor Seating', 'Desserts and Bakes', 'Free Parking', 'Table booking recommended', 'Group Meal']"
Ikkakas,Teynampet, ' Desserts',"['Tender Coconut Mousse', ' Kuluki Sarbat', ' Chicken Curry', ' Karimeen Pollichath', ' Mutton Cutlets', ' Chicken Biryani', ' Fish Cutlet']",500,4.2,208,3.8,51,"['Home Delivery', 'Lunch Menu', 'Indoor Seating', 'Desserts and Bakes', 'Free Parking', 'Table booking recommended', 'Group Meal']"
Ikkakas,Teynampet, ' Beverages'],"['Tender Coconut Mousse', ' Kuluki Sarbat', ' Chicken Curry', ' Karimeen Pollichath', ' Mutton Cutlets', ' Chicken Biryani', ' Fish Cutlet']",500,4.2,208,3.8,51,"['Home Delivery', 'Lunch Menu', 'Indoor Seating', 'Desserts and Bakes', 'Free Parking', 'Table booking recommended', 'Group Meal']"
